ID,分类结果
8010000,0
8010006,1
8010007,1
8010009,0
8010012,0
8010013,0
8010014,0
8010015,0
8010016,0
8010019,0
8010020,0
8010021,1
8010022,1
8010023,1
8010025,0
8010026,1
8010027,0
8010028,1
8010029,0
8010032,0
8010034,0
8010035,0
8010039,0
8010041,0
8010042,0
8010044,0
8010048,0
8010049,1
8010050,0
8010051,0
8010052,1
8010053,0
8010055,0
8010056,0
8010058,0
8010063,0
8010064,0
8010066,0
8010067,0
8010068,0
8010070,0
8010071,0
8010072,0
8010073,0
8010076,0
8010077,0
8010078,0
8010079,0
8010080,0
8010081,1
8010082,0
8010083,0
8010088,1
8010090,0
8010091,1
8010096,0
8010097,0
8010099,0
8010100,0
8010101,1
8010103,0
8010105,0
8010106,1
8010108,1
8010110,0
8010113,0
8010114,0
8010116,0
8010118,1
8010120,0
8010121,0
8010122,0
8010124,1
8010128,0
8010130,0
8010131,0
8010132,1
8010133,0
8010134,1
8010136,0
8010138,0
8010141,0
8010143,0
8010145,0
8010148,1
8010149,0
8010150,0
8010151,0
8010152,1
8010155,1
8010156,0
8010161,0
8010162,0
8010163,0
8010164,1
8010165,0
8010167,0
8010168,0
8010170,0
8010172,0
8010173,0
8010174,0
8010175,0
8010176,0
8010177,0
8010178,0
8010179,0
8010180,0
8010182,0
8010184,0
8010185,1
8010186,0
8010187,0
8010188,0
8010190,0
8010191,0
8010192,0
8010194,0
8010196,0
8010197,1
8010200,0
8010201,0
8010202,0
8010203,0
8010204,0
8010205,0
8010206,0
8010207,0
8010208,1
8010210,0
8010211,0
8010212,1
8010215,0
8010217,0
8010219,0
8010220,0
8010221,1
8010222,0
8010223,0
8010224,0
8010227,0
8010231,0
8010232,0
8010233,1
8010234,1
8010236,0
8010239,1
8010240,0
8010241,0
8010243,1
8010244,0
8010245,1
8010246,0
8010247,0
8010248,1
8010251,1
8010252,1
8010253,0
8010254,1
8010255,1
8010260,0
8010261,0
8010262,0
8010263,0
8010264,0
8010266,0
8010267,0
8010270,0
8010271,0
8010272,1
8010273,0
8010274,0
8010276,0
8010277,0
8010278,0
8010279,1
8010280,0
8010281,0
8010283,1
8010284,1
8010286,1
8010287,1
8010288,1
8010291,0
8010292,0
8010298,0
8010299,0
8010300,0
8010303,0
8010305,0
8010306,1
8010308,0
8010309,0
8010310,0
8010311,0
8010312,1
8010316,1
8010317,0
8010318,0
8010320,0
8010321,1
8010322,1
8010323,0
8010324,1
8010327,0
8010329,0
8010332,0
8010333,0
8010336,1
8010338,0
8010339,1
8010340,0
8010341,0
8010342,0
8010345,0
8010346,0
8010347,1
8010348,0
8010351,0
8010352,1
8010353,1
8010354,0
8010355,0
8010356,0
8010357,0
8010358,0
8010360,0
8010361,0
8010362,0
8010363,0
8010364,0
8010365,0
8010366,0
8010368,1
8010370,0
8010371,0
8010372,1
8010373,0
8010375,1
8010376,0
8010379,0
8010380,0
8010381,0
8010382,0
8010383,0
8010386,0
8010387,0
8010388,0
8010389,0
8010390,0
8010391,0
8010392,0
8010393,0
8010394,1
8010395,1
8010397,0
8010398,0
8010400,0
8010401,1
8010403,1
8010404,0
8010405,1
8010406,0
8010407,0
8010408,0
8010409,0
8010410,1
8010411,1
8010412,1
8010414,0
8010416,0
8010418,0
8010419,0
8010421,0
8010423,1
8010424,0
8010425,0
8010427,0
8010428,1
8010430,0
8010431,0
8010432,1
8010435,0
8010436,1
8010437,0
8010439,1
8010445,0
8010446,1
8010447,0
8010448,0
8010450,0
8010452,0
8010453,0
8010454,0
8010455,0
8010456,1
8010457,0
8010459,1
8010460,0
8010461,0
8010462,0
8010463,0
8010466,0
8010467,0
8010468,1
8010469,0
8010472,0
8010474,1
8010475,0
8010477,1
8010478,0
8010479,0
8010480,0
8010483,0
8010485,0
8010487,1
8010488,0
8010489,0
8010490,0
8010491,1
8010493,0
8010496,1
8010497,0
8010498,0
8010499,1
8010500,0
8010501,0
8010502,1
8010503,0
8010504,0
8010507,0
8010508,0
8010509,0
8010510,0
8010511,1
8010512,0
8010516,0
8010519,1
8010520,1
8010521,0
8010524,0
8010525,0
8010526,1
8010527,1
8010528,0
8010530,0
8010532,0
8010533,0
8010534,0
8010535,1
8010536,1
8010538,1
8010539,0
8010540,1
8010541,0
8010542,0
8010544,1
8010545,0
8010547,0
8010551,0
8010555,0
8010556,1
8010558,0
8010559,0
8010560,0
8010561,1
8010562,0
8010563,0
8010567,0
8010568,0
8010570,0
8010571,0
8010572,0
8010573,0
8010574,0
8010575,0
8010577,0
8010579,0
8010580,1
8010581,0
8010583,0
8010584,0
8010585,1
8010586,0
8010587,1
8010588,0
8010590,1
8010593,0
8010595,0
8010598,1
8010599,0
8010602,1
8010604,0
8010605,0
8010607,0
8010608,1
8010610,0
8010614,1
8010615,0
8010616,0
8010617,0
8010620,0
8010621,0
8010622,1
8010623,0
8010624,1
8010625,1
8010628,0
8010629,0
8010631,1
8010632,0
8010635,0
8010638,0
8010639,0
8010643,1
8010644,0
8010645,0
8010646,0
8010647,0
8010649,0
8010650,0
8010651,0
8010652,0
8010653,1
8010655,0
8010656,0
8010657,1
8010661,0
8010664,0
8010665,0
8010667,0
8010669,1
8010671,0
8010672,0
8010673,1
8010674,0
8010675,0
8010676,1
8010677,1
8010678,1
8010680,0
8010681,0
8010682,0
8010683,0
8010684,0
8010685,0
8010686,0
8010687,0
8010688,1
8010689,1
8010690,1
8010691,1
8010692,0
8010693,0
8010694,0
8010696,0
8010697,0
8010700,0
8010701,0
8010703,0
8010706,0
8010707,0
8010709,0
8010710,0
8010711,0
8010712,0
8010713,0
8010715,1
8010718,1
8010720,0
8010721,0
8010722,0
8010723,0
8010724,0
8010725,0
8010727,0
8010728,0
8010730,0
8010732,0
8010733,1
8010736,1
8010737,0
8010738,0
8010741,0
8010742,1
8010743,1
8010746,0
8010747,1
8010750,0
8010753,0
8010755,0
8010756,1
8010758,0
8010759,0
8010760,0
8010761,0
8010762,0
8010763,0
8010768,0
8010770,0
8010771,0
8010773,0
8010774,0
8010775,0
8010776,0
8010778,1
8010779,1
8010780,0
8010781,0
8010783,0
8010784,0
8010788,0
8010793,0
8010794,0
8010798,1
8010801,0
8010802,1
8010803,0
8010804,0
8010805,0
8010807,0
8010810,0
